,n_samples,n_features,n_trees,wall_clock_time,training_time,accuracy,energy_joule,job_id,job_state,data_entries
0,1E+06,1E+02,1E+05,3-00:00:17,N/A,N/A,75175077,2130898,TIMEOUT,1E+08
1,1E+06,1E+03,1E+05,3-00:00:17,N/A,N/A,76331852,2130902,TIMEOUT,1E+09
2,1E+06,1E+04,1E+05,3-00:00:27,N/A,N/A,76694808,2130906,TIMEOUT,1E+10
3,1E+06,1E+05,1E+05,00:00:23,N/A,N/A,1566,2130910,FAILED,1E+11
4,1E+07,1E+02,1E+05,3-00:00:02,N/A,N/A,75794838,2130914,TIMEOUT,1E+09
5,1E+07,1E+03,1E+05,3-00:00:13,N/A,N/A,76672617,2130918,TIMEOUT,1E+10
6,1E+07,1E+04,1E+05,00:00:23,N/A,N/A,1620,2130922,FAILED,1E+11
7,1E+07,1E+05,1E+05,00:00:23,N/A,N/A,1575,2130926,FAILED,1E+12
8,1E+08,1E+02,1E+05,3-00:00:29,N/A,N/A,75611299,2130930,TIMEOUT,1E+10
9,1E+08,1E+03,1E+05,00:00:28,N/A,N/A,1571,2130934,FAILED,1E+11
10,1E+08,1E+04,1E+05,00:00:26,N/A,N/A,N/A,2130938,FAILED,1E+12
11,1E+08,1E+05,1E+05,00:00:28,N/A,N/A,1544,2130942,FAILED,1E+13
12,1E+09,1E+02,1E+05,00:00:27,N/A,N/A,N/A,2130946,FAILED,1E+11
13,1E+09,1E+03,1E+05,00:00:25,N/A,N/A,N/A,2130950,FAILED,1E+12
14,1E+09,1E+04,1E+05,00:00:26,N/A,N/A,N/A,2130954,FAILED,1E+13
15,1E+09,1E+05,1E+05,00:00:26,N/A,N/A,1567,2130958,FAILED,1E+14
16,1E+06,1E+02,1E+04,1-21:28:11,162620.37741508242,0.895092,48145090,2130897,COMPLETED,1E+08
17,1E+06,1E+03,1E+04,3-00:00:17,N/A,N/A,12482622082,2130901,TIMEOUT,1E+09
18,1E+06,1E+04,1E+04,3-00:00:17,N/A,N/A,73998041,2130905,TIMEOUT,1E+10
19,1E+06,1E+05,1E+04,00:00:23,N/A,N/A,N/A,2130909,FAILED,1E+11
20,1E+07,1E+02,1E+04,3-00:00:02,N/A,N/A,76453016,2130913,TIMEOUT,1E+09
21,1E+07,1E+03,1E+04,3-00:00:01,N/A,N/A,77434820,2130917,TIMEOUT,1E+10
22,1E+07,1E+04,1E+04,00:00:23,N/A,N/A,N/A,2130921,FAILED,1E+11
23,1E+07,1E+05,1E+04,00:00:23,N/A,N/A,1548,2130925,FAILED,1E+12
24,1E+08,1E+02,1E+04,3-00:00:15,N/A,N/A,77433362,2130929,TIMEOUT,1E+10
25,1E+08,1E+03,1E+04,00:00:26,N/A,N/A,1583,2130933,FAILED,1E+11
26,1E+08,1E+04,1E+04,00:00:27,N/A,N/A,1566,2130937,FAILED,1E+12
27,1E+08,1E+05,1E+04,00:00:27,N/A,N/A,1566,2130941,FAILED,1E+13
28,1E+09,1E+02,1E+04,00:00:27,N/A,N/A,N/A,2130945,FAILED,1E+11
29,1E+09,1E+03,1E+04,00:00:27,N/A,N/A,1577,2130949,FAILED,1E+12
30,1E+09,1E+04,1E+04,00:00:26,N/A,N/A,1586,2130953,FAILED,1E+13
31,1E+09,1E+05,1E+04,00:00:26,N/A,N/A,N/A,2130957,FAILED,1E+14
32,1E+06,1E+02,1E+03,04:31:53,16186.896523677744,0.894788,4873762,2130896,COMPLETED,1E+08
33,1E+06,1E+03,1E+03,11:36:16,41511.82464700844,0.939352,12346520,2130900,COMPLETED,1E+09
34,1E+06,1E+04,1E+03,1-20:09:51,158093.06208953355,0.395032,46352208,2130904,COMPLETED,1E+10
35,1E+06,1E+05,1E+03,00:00:22,N/A,N/A,N/A,2130908,FAILED,1E+11
36,1E+07,1E+02,1E+03,2-20:37:05,245354.51958900498,0.9327416,75487216,2132264,COMPLETED,1E+09
37,1E+07,1E+03,1E+03,3-00:00:11,N/A,N/A,76016938,2130916,TIMEOUT,1E+10
38,1E+07,1E+04,1E+03,00:00:24,N/A,N/A,N/A,2130920,FAILED,1E+11
39,1E+07,1E+05,1E+03,00:00:23,N/A,N/A,N/A,2130924,FAILED,1E+12
40,1E+08,1E+02,1E+03,3-00:00:14,N/A,N/A,77884279,2130928,TIMEOUT,1E+10
41,1E+08,1E+03,1E+03,00:00:26,N/A,N/A,1545,2130932,FAILED,1E+11
42,1E+08,1E+04,1E+03,00:00:27,N/A,N/A,1539,2130936,FAILED,1E+12
43,1E+08,1E+05,1E+03,00:00:28,N/A,N/A,N/A,2130940,FAILED,1E+13
44,1E+09,1E+02,1E+03,00:00:27,N/A,N/A,1508,2130944,FAILED,1E+11
45,1E+09,1E+03,1E+03,00:00:27,N/A,N/A,N/A,2130948,FAILED,1E+12
46,1E+09,1E+04,1E+03,00:00:27,N/A,N/A,N/A,2130952,FAILED,1E+13
47,1E+09,1E+05,1E+03,00:00:25,N/A,N/A,1320,2130956,FAILED,1E+14
48,1E+06,1E+02,1E+02,00:27:36,1618.8459286680445,0.890868,488576,2130895,COMPLETED,1E+08
49,1E+06,1E+03,1E+02,01:09:56,4104.355625192635,0.838264,1239692,2130899,COMPLETED,1E+09
50,1E+06,1E+04,1E+02,04:31:06,15620.599127279595,0.176432,4752486,2130903,COMPLETED,1E+10
51,1E+06,1E+05,1E+02,00:00:24,N/A,N/A,1272,2130907,FAILED,1E+11
52,1E+07,1E+02,1E+02,06:50:54,24412.113120593007,0.9308252,7534227,2132265,COMPLETED,1E+09
53,1E+07,1E+03,1E+02,15:39:57,55607.2638990758,0.9180012,16893295,2130915,COMPLETED,1E+10
54,1E+07,1E+04,1E+02,00:00:32,N/A,N/A,4506,2130919,FAILED,1E+11
55,1E+07,1E+05,1E+02,00:00:23,N/A,N/A,N/A,2130923,FAILED,1E+12
56,1E+08,1E+02,1E+02,3-00:00:02,N/A,N/A,74142119,2132263,TIMEOUT,1E+10
57,1E+08,1E+03,1E+02,00:00:27,N/A,N/A,N/A,2130931,FAILED,1E+11
58,1E+08,1E+04,1E+02,00:00:27,N/A,N/A,N/A,2130935,FAILED,1E+12
59,1E+08,1E+05,1E+02,00:00:27,N/A,N/A,1250,2130939,FAILED,1E+13
60,1E+09,1E+02,1E+02,00:00:27,N/A,N/A,1261,2130943,FAILED,1E+11
61,1E+09,1E+03,1E+02,00:00:27,N/A,N/A,1550,2130947,FAILED,1E+12
62,1E+09,1E+04,1E+02,00:00:27,N/A,N/A,1541,2130951,FAILED,1E+13
63,1E+09,1E+05,1E+02,00:00:26,N/A,N/A,N/A,2130955,FAILED,1E+14
